entidad,municipio,tot_viviendas,num_encuestas,encuestas_100
18,020,55281.0,92,0.16642245979631337
24,032,10220.0,17,0.16634050880626222
01,001,266490.0,442,0.16585988217193892
30,086,11593.0,19,0.16389200379539376
32,024,12997.0,21,0.16157574824959606
11,008,11166.0,18,0.16120365394948952
08,036,11830.0,19,0.16060862214708369
12,053,11224.0,18,0.16037063435495366
16,068,7508.0,12,0.15982951518380395
13,076,33335.0,53,0.15899205039748013
10,008,10084.0,16,0.15866719555731854
32,005,11999.0,19,0.15834652887740644
07,015,12135.0,19,0.1565718994643593
24,050,12160.0,19,0.15625
32,036,10891.0,17,0.15609218620879625
17,011,61620.0,96,0.15579357351509251
20,409,2574.0,4,0.1554001554001554
07,020,12262.0,19,0.1549502528135704
28,012,12334.0,19,0.15404572725798604
13,056,11139.0,17,0.15261693150193015
29,036,5921.0,9,0.1520013511231211
12,052,10596.0,16,0.15100037750094375
04,011,13267.0,20,0.15074998115625235
07,046,11277.0,17,0.15074931276048595
17,017,11306.0,17,0.15036263930656288
22,006,64382.0,96,0.14910999968935418
21,110,12072.0,18,0.14910536779324055
29,032,3362.0,5,0.148720999405116
32,056,42423.0,63,0.14850434905593665
29,006,12851.0,19,0.1478484164656447
24,024,27148.0,40,0.14734050390452336
05,033,26578.0,39,0.14673790352923471
30,130,11598.0,17,0.14657699603379892
30,032,13743.0,20,0.14552863275849523
10,012,44727.0,65,0.1453260893867239
14,050,11072.0,16,0.14450867052023122
29,034,11836.0,17,0.14362960459614735
19,017,11180.0,16,0.14311270125223613
24,054,12698.0,18,0.1417546070247283
27,014,26545.0,37,0.13938594838952723
13,008,12931.0,18,0.13920037120098988
18,012,13008.0,18,0.13837638376383765
16,079,11610.0,16,0.13781223083548666
29,013,23951.0,33,0.13778130349463488
05,032,13100.0,18,0.13740458015267176
08,045,13840.0,19,0.13728323699421965
27,002,67278.0,92,0.13674603882398406
26,002,27088.0,37,0.13659184878913172
13,067,14843.0,20,0.13474365020548407
05,024,12734.0,17,0.13350086382911888
23,001,26366.0,35,0.1327467192596526
24,011,12807.0,17,0.13273990786288747
29,033,28873.0,38,0.13161084750458907
30,058,15204.0,20,0.13154433043935806
10,005,186860.0,244,0.13057904313389704
29,024,7680.0,10,0.13020833333333334
01,005,33065.0,43,0.1300468773627703
21,186,14396.0,18,0.1250347318699639
24,040,10549.0,13,0.12323442980377287
24,021,13866.0,17,0.12260204817539305
20,482,15532.0,19,0.12232809683234612
01,003,15576.0,19,0.12198253723677452
21,010,15581.0,19,0.12194339259354342
07,059,46891.0,56,0.11942590262523725
17,007,104408.0,123,0.11780706459275152
10,007,102752.0,117,0.11386639676113361
20,375,3575.0,4,0.11188811188811189
32,042,17200.0,19,0.11046511627906977
12,046,17232.0,19,0.11025998142989786
29,042,3634.0,4,0.1100715465052284
15,062,17339.0,19,0.10957956052828882
14,006,17374.0,19,0.10935881201795787
17,004,25051.0,27,0.10778012853778292
15,059,15855.0,17,0.10722169662567013
16,088,33094.0,35,0.1057593521484257
30,071,16095.0,17,0.1056228642435539
21,053,17157.0,18,0.10491344640671446
28,040,18125.0,19,0.10482758620689656
01,011,16391.0,17,0.10371545360258679
17,018,34720.0,36,0.10368663594470046
05,017,31203.0,32,0.10255424157933532
21,164,18578.0,19,0.10227150392937884
12,029,72538.0,74,0.10201549532658745
14,073,18657.0,19,0.10183845205552876
14,018,17725.0,18,0.10155148095909731
12,057,19714.0,20,0.10145074566298062
04,009,16833.0,17,0.10099209885344264
22,016,83611.0,84,0.10046524978770736
23,005,287110.0,288,0.10030998571975898
22,012,19068.0,19,0.09964338158170757
25,011,69856.0,69,0.09877462207970683
13,003,16271.0,16,0.09833446008235511
31,101,19362.0,19,0.09813035843404606
19,046,121798.0,119,0.09770275373979868
29,018,9297.0,9,0.0968054211035818
17,020,15585.0,15,0.09624639076034648
27,005,58320.0,56,0.09602194787379972
